Mies;46.299876;6.169567
Lörrach, Hauptbahnhof;47.614432;7.663834
Grolley;46.831966;7.066052
Leuk;46.311886;7.64395
Aarburg-Oftringen;47.320269;7.908206
Basel, Riehenring;47.567337;7.597737
Reichenburg;47.172693;8.9823
Hausen-Raitbach;47.679307;7.846037
Efringen-Kirchen;47.65562;7.563919
Courtemaîche;47.455862;7.055373
Saint-Louis (Haut-Rhin);47.590179;7.55538
Domodossola, Stazione;46.114555;8.29601
Valence-Ville;44.927655;4.893476
Yvonand;46.800863;6.746683
Lörrach-Stetten;47.601415;7.659034
Zürich Wipkingen;47.393036;8.529361
Wangen an der Aare;47.23195;7.656221
Salzburg Hbf;47.813111;13.045676
Seuzach;47.535767;8.738872
Konolfingen;46.880696;7.621351
Oberrüti;47.165924;8.40477
Lausanne;46.516777;6.629095
Genthod-Bellevue;46.256728;6.153961
Läufelfingen;47.392128;7.856213
Duisburg Hbf;51.429786;6.775907
Männedorf;47.253425;8.692335
Stainach-Irdning;47.529196;14.106754
La Conversion;46.513082;6.678329
Rolle;46.462734;6.336406
Gossau SG;47.411833;9.253028
Siviriez;46.659256;6.885351
Lugano-Paradiso;45.988948;8.946271
Nebikon;47.19237;7.977441
Oberrieden;47.279673;8.578451
Visp;46.294024;7.881454
Hagen Hbf;51.362745;7.460247
Solothurn West;47.206708;7.531945
Nidfurn-Haslen;46.985897;9.059257
Holderbank AG;47.428634;8.166601
Bowil;46.900041;7.698047
Kollmarsreute;48.098267;7.887073
Thalbrücke;47.308547;7.688222
Uetikon;47.259034;8.67877
Wörgl Hbf;47.491801;12.060584
Ermensee;47.229693;8.242299
Steinen (D);47.641606;7.741564
Charbonnières-les-Bains;45.78208;4.735742
Ötztal;47.238485;10.859113
Wohlen AG;47.348459;8.269779
Schönenwerd SO;47.371426;8.000157
Tenay-Hauteville;45.922545;5.500985
Rorschach;47.478002;9.505131
Pfäffikon SZ;47.202995;8.77811
Bubikon;47.270837;8.822697
Oberbuchsiten;47.305248;7.771714
Grenchen Nord;47.191804;7.389466
Konstanz;47.658757;9.177312
Chur;46.853081;9.528925
Luchsingen-Hätzingen;46.965069;9.039004
Schwyz;47.026393;8.632143
Gerlafingen;47.169744;7.565187
Herzogenbuchsee;47.188082;7.700942
Kempten;47.332036;8.804709
Urdorf Weihermatt;47.380973;8.430327
Zäziwil;46.899744;7.662873
Györ;47.681986;17.634795
Urdorf;47.390879;8.434713
Avoudrey;47.129742;6.43456
Rekingen AG;47.569971;8.327112
Hochdorf Schönau;47.164656;8.298212
Maccagno;46.044987;8.734396
Heerbrugg;47.410386;9.62724
Bevaix;46.929687;6.811675
Bremen Hbf;53.083478;8.813833
Langen am Arlberg;47.13172;10.120371
Diepflingen;47.449552;7.837704
Boncourt;47.492619;7.016539
Zürich Seebach;47.418746;8.544633
Erlenbach ZH;47.305787;8.591503
Diesbach-Betschwanden;46.946174;9.024361
Innsbruck Hbf;47.263277;11.401001
Niederweningen Dorf;47.505905;8.381048
Pieterlen;47.171434;7.340187
Balsthal;47.312889;7.693912
Le Châtelard-Frontière;46.053671;6.950612
Nurieux;46.184014;5.532636
Liezen;47.562708;14.241889
Hamburg-Altona;53.552697;9.935175
Oberdorf SO;47.235986;7.493767
Rixheim;47.74874;7.40615
Le Lieu;46.646905;6.283451
Zürich Oerlikon;47.411527;8.544112
St. Erhard-Knutwil;47.180073;8.074561
Hegyeshalom;47.913503;17.147023
Frenkendorf-Füllinsdorf;47.501455;7.719091
St-Saphorin;46.472586;6.797032
Neyruz;46.766048;7.065027
München Hbf;48.140229;11.558339
Auvernier;46.979631;6.87771
L'Hôpital-du-Gros-Bois;47.169106;6.213083
